P00352,O60356
Q6UX01,P05386
Q9P2R3,Q13439
O43493,Q9H8Y8
Q9Y266,Q5H9I0
P27695,P23527
Q9UN86,Q9H000
Q63ZY3,Q13555
Q8TAQ2,Q14696
O94761,O14929
P48735,P46059
P49916,P42166
P34981,P20396
Q14257,Q9ULD4
O15534,O14901
P27695,Q9UBC2
O00268,P32519
Q641Q3,Q2MV58
Q8IWL3,Q96JQ2
Q9BU23,O75326
Q13526,O75909
Q9NRI5,P43243
P36542,P36957
Q8IZU1,P78364
Q92731,P13489
Q8NHQ1,Q9BXY8
Q15311,Q16181
P01023,Q8N4C7
P19397,Q8N743
Q9UBN7,P10071
P15880,Q99608
Q12797,P22695
Q9BRL6,P49759
O75031,O75386
P09619,Q16665
Q8WWF1,Q92824
P63104,Q969H0
P62899,Q8TDN6
Q15427,O75533
Q15572,Q92913
Q16643,P46940
Q15286,Q96BD0
P81605,Q6VAB6
P48047,Q969S9
O95816,Q8NA72
P34998,P06850
P34810,Q5HYI7
P68431,Q9HBA9
Q92797,Q92990
Q9C0B5,Q9HCS5
P52735,Q92569
P15311,P13598
Q9NRD1,Q6ZXV5
P24666,Q7Z6W7
P04792,O75461
Q9H2C0,Q9NR99
O94901,P49257
Q3KNT7,Q08AF3
P02751,P69905
P42858,Q5T7P8
Q15669,Q12923
P42224,P09936
Q8IXM3,Q13825
Q15274,Q9HD26
P12956,Q9BRR8
Q13011,Q86TW2
Q9H492,O95678
Q9NRC8,P55786
Q8N5G2,Q8WZ59
Q9BZR9,Q9C019
P62917,Q6PCB5
Q13257,Q12931
P57678,Q9HCM4
Q13200,Q9UHE8
O60907,P49619
P19012,Q8N1N4
P00338,P52209
P19838,Q86X83
O94992,Q96DG6
O00170,Q92667
O95793,Q6KC79
P13727,Q9BWS9
A8CG34,Q6UXC1
O00148,Q9BUG6
Q9H444,Q8WYP5
Q9UM22,Q9H106
Q96HY6,P05412
P35222,Q9Y252
P51116,Q9UI08
O95292,Q9Y5X3
Q96DC9,P39023
O43189,Q08AM6
P25963,Q96EP0
P67870,P11926
Q92552,P62241
P55072,Q96G03
Q15717,Q8IZN3
P14866,P42338
Q9UJM3,Q9BS86
Q00610,Q8NA72
Q9H0W5,P04271
O15027,P05783
Q15058,Q9GZL7
P22415,P58397
P08134,Q96J84
P61964,Q9P209
P62805,Q9Y618
Q9Y597,O43896
Q9BYW2,Q9NQ29
Q13287,Q86XK3
Q92563,Q96AY2
O95573,Q96KC8
Q9Y4P3,Q96KC8
Q99558,Q12905
P48729,P51451
O95166,Q15154
Q8N122,Q5VZM2
Q9P0U4,Q9P2N6
P00748,Q969F9
Q9UKX2,Q96DN0
Q13200,O15519
Q99081,Q9Y5S9
Q6GYQ0,Q96JN8
P68133,Q6N021
Q69YN4,O95562
Q92793,P25054
Q13489,Q9UKV3
Q13952,O95789
Q14197,Q9H9B4
Q9NSE2,Q4KMP7
Q04864,Q96LC9
Q13243,Q9BYD2
Q03001,P0C862
Q9Y2I6,Q8N1B4
Q9UEU0,O43508
P31948,Q9NWS0
P11142,P49327
Q8NB49,Q9GZQ4
O94763,Q9NVU0
Q7Z699,Q9NRA8
Q7Z3K3,Q13488
P58340,Q9P2D3
P10275,P07196
Q13503,Q8NBB4
P07195,Q15382
Q9Y266,P26639
P34932,Q8WYA6
Q06830,Q9BQ15
Q86VP1,P25054
Q9Y2R5,Q96E11
P84095,P31641
O15205,P13747
Q8NF37,Q9Y6S9
P13984,P09466
Q96A37,P01215
O15379,Q9NXH9
P68431,P61081
Q8WWY3,P49116
Q15910,Q15717
Q13309,Q53RE8
Q07020,P62701
Q96NT0,Q9UK00
P11166,O14981
Q15428,Q6B0I6
P09874,Q504Q3
P29034,O00411
Q14790,P11172
Q9UBF8,O75154
Q8IZ63,P10606
Q5S007,Q7L804
P55072,P46459
Q6VN20,P26022
P18621,O60765
Q6VN20,Q96HB5
Q9NPI1,P25205
O60356,P53990
O43474,Q9Y3D3
O14544,Q9BZZ5
Q96EL2,Q75WM6
P36578,Q9UNX3
P54578,P16402
P22607,Q9UGJ1
Q99933,Q9NR56
Q9BZF1,P60468
Q6UX01,Q6ZMG9
Q9UJY5,Q15329
P84095,Q9BSH4
P35241,P26038
P58397,Q96L15
P20908,Q13797
Q16576,P09455
O95471,Q93099
Q14627,Q6KCM7
Q14315,Q15349
Q9NZV5,Q13361
Q8NCK7,P50993
P62750,P15923
Q16543,Q7Z6G3
Q9NV88,Q6P4I2
P39023,Q9H5J8
Q9Y572,P38646
P22626,P02549
Q86TI2,O95196
Q9H3Z4,Q86X10
Q9UBX3,P14854
O60783,Q969S9
Q9GZQ8,Q00975
Q92769,P53621
Q9UPQ9,Q9Y2M0
Q9UI36,Q96BM0
Q96J02,Q9NYP7
Q01844,O94913
P27695,P15923
P68036,Q9BYV6
Q7Z7L7,P58062
P25705,Q13263
O00217,P17568
O14578,Q9BZJ0
O43711,Q9NQ55
Q9UHD2,Q7Z7B0
O15162,P25103
Q5JST6,O95990
P35240,A7KAX9
P51659,Q9Y3D6
O00443,Q9GZV4
O75607,Q9Y221
Q15058,Q5VU43
Q15717,P51955
P06748,Q9NVV4
Q9UKB1,Q9NX95
Q9NX58,O76093
Q9C004,O75716
P30101,Q96KP4
Q15029,Q3ZCQ8
Q969T9,P24534
P30405,Q9H300
Q14192,Q9NYA1
O60896,Q96K37
P04792,P40855
Q15154,Q9P270
Q8IY34,P19367
P61247,Q96HE9
Q7L8S5,Q14195
P46779,Q14692
P61981,Q9GZT6
P54098,Q9GZT6
Q9NYS7,P30414
O60293,Q8IUH5
O60220,Q9UDV7
O60503,Q13586
P62805,Q9UHA2
P18433,Q9NYI0
P40938,Q9UER7
Q13009,O75056
O00401,Q7Z6J0
P04637,Q96GD4
Q9P032,Q8N5K1
Q01968,Q96SL4
P67870,O00255
Q9ULW3,Q7Z2W4
P50222,Q12982
Q9UL58,Q9Y5R8
P48723,P30040
Q12834,P30305
Q92844,Q96CS7
P38398,P50613
P05067,Q9HC16
P78406,Q13188
P43355,Q49A26
P31946,Q5JXC2
Q9UNK0,Q6P5S7
O75909,Q52LG2
Q9BVA1,P78371
Q16665,P46459
O75781,Q6PEY0
Q9C0B5,P12270
P62166,Q9NZN1
O95159,Q9HB21
Q9H492,Q15042
P56704,Q13362
P62877,Q9Y3I1
O15254,Q9UKM9
Q9UHD2,O15155
Q09028,P24385
Q9GZQ8,Q96EY4
Q15717,O95214
Q676U5,Q96HR3
P30613,Q9UBL6
O14656,Q13217
Q8N6Y1,P35269
A8MW92,Q13637
Q14318,Q15382
Q16540,Q96BP2
Q96DT7,Q14157
Q8N5U6,Q96JK2
P47710,Q6W2J9
Q92730,P02786
P16402,Q9H3D4
P04150,O95478
Q9NVS2,Q04837
P26371,Q8NEC5
Q4VC05,Q6STE5
P46937,P09622
Q13573,P41219
Q9BXW9,Q96FF9
O14678,P23945
Q9Y5Y3,Q9H5Q4
P46821,Q13627
Q9Y3U8,P17020
P04908,P49450
O43865,P30307
Q9NRD5,P25800
Q9C005,Q9UQN3
P18847,Q8IWV7
O94972,P49755
Q9Y6E0,P48556
P04637,Q9H1K0
P55084,P11177
Q9NWS0,P15531
Q504Q3,Q9NVP2
O15400,Q9BRR6
Q7Z6I5,Q96AQ7
Q96HC4,Q6ZT12
O43169,Q8TCG1
Q01658,Q9H8E8
P07910,Q99986
Q9UL15,Q8WWF6
Q9Y618,Q9UQL6
P22735,Q15915
O15400,Q9Y2L5
P62745,Q14574
Q9NRW4,O60831
Q13618,Q9HBM6
Q12800,O95363
Q9NUJ3,P04440
P46108,O60493
O15446,Q6ZRS2
Q15633,Q13496
Q8IX15,Q9NWW7
Q9BYZ6,Q99832
Q9Y333,Q9H0U4
P11166,P05771
P62745,Q52LW3
Q00839,Q7KZF4
Q86TM6,Q99436
P62805,Q9NVF7
Q07108,O94760
Q8IUH3,Q86U42
P54652,Q8NEG4
Q9ULH0,Q3KPI0
Q15717,Q9H0U9
Q86YM7,Q9H3R0
Q9UN74,Q9NZJ5
P31483,Q5JVS0
Q7L2E3,Q16629
Q07666,P62987
O14682,Q00G26
Q9UKA4,P49840
P68036,Q96EL3
O75110,P25090
Q9NZ94,P45378
P08397,P09651
Q92482,Q5K4L6
P04629,Q8N3U4
Q9BS86,O43852
Q13287,O75460
Q9NZN5,Q13162
O00203,P49116
P60709,Q70E73
P02545,Q9BUI4
P01106,Q9UQ13
Q01082,P29966
Q92748,Q13485
Q9H939,Q01628
Q9H4M7,Q6P4A7
Q96C86,Q13868
Q9HAU4,Q6ZNA4
P57682,Q7Z589
P61073,Q8WY22
Q3KQV3,Q96EG3
P42695,Q9UI95
Q15022,Q9BZI7
Q16543,Q5H9R7
P20338,Q709C8
P49336,Q6P2C8
Q96CB8,Q15697
P34897,Q6PIJ6
Q9H1H9,O43747
Q70UQ0,Q9Y240
Q676U5,Q14679
Q02241,P05388
Q7Z434,P19474
Q8TAP4,P56693
P15884,Q9Y5K1
Q9NPI1,Q9UBS4
O94992,P04406
Q14974,O75448
P17980,Q9BXK1
Q8NCB2,O00422
Q9HAW7,P13747
P62258,Q9Y2J2
P38936,P07199
P49023,P41227
Q8N6T3,Q6KC79
O76021,O60519
Q13489,P62318
Q16665,Q9H992
Q13618,Q9NXV2
P07948,Q86VW1
P00533,P07814
P05556,P04626
P02649,Q9Y6C2
Q9NRD5,O75400
Q8TDB4,Q02818
Q9P0V3,Q8IWT3
Q09666,O14979
Q92611,Q5H8A3
P04637,Q6ZN66
O95563,Q9H300
Q9NX40,Q8WTW3
O94916,Q9NR30
Q15843,Q9H469
Q8N9P6,Q6R327
P04908,Q9UGI8
P98175,Q8TF50
Q01860,Q16718
P53611,Q9ULW5
Q13618,Q14681
Q9UHI6,P49116
P09429,P22670
P63104,P33176
P36406,Q9UBL6
Q86YD3,Q9UMR2
P0C5Z0,P17026
Q9NUM4,Q96AY3
Q9BXK5,Q8IWU4
P54257,Q96D09
O60783,Q14197
P05386,Q8IUH3
Q01201,O14497
P31947,P27635
Q9H0R8,Q9Y520
P61313,Q9H9Y2
P46108,P52907
O75563,Q15697
O15155,Q9H115
Q9UHB6,P55196
P49674,Q86TG7
Q96HB5,Q2TAC2
P09382,P07911
Q99471,P14921
P17302,Q12846
Q5XPI4,Q5VVQ6
Q9UL15,O15027
Q13148,O43432
P62829,Q53H96
Q9BXK1,Q15008
Q96FJ2,Q13033
P49711,Q96HE9
Q14192,Q96KR1
Q14451,Q9Y285
P36543,Q8IWZ8
Q96E11,P27144
Q9Y639,Q96ND0
Q96G23,P47900
Q13489,Q92522
Q8TBB0,P60409
P29120,O60243
Q99569,P55289
Q9BWG4,O75081
P04626,O60641
O94986,O14777
O95816,Q9NQG5
O60506,Q92540
P10636,P37108
P60660,Q9H0K1
O00559,Q9Y485
Q15058,P22626
Q06546,P32519
Q9NQW6,Q5JNZ5
Q13363,P23396
Q9H7H0,Q8IUZ5
O94901,Q13283
P48736,O43561
P27695,Q99832
Q9UPT5,O14894
P33992,Q9UBU7
P14625,Q13620
P50402,O94972
Q8N0U8,Q9BQB6
P25054,Q96LZ3
Q96A08,Q9NXF1
Q3ZCQ8,Q96I36
Q15276,P57058
P11182,P17542
Q16659,Q13573
Q12905,P08559
P54578,Q8IVS2
P19367,A6NM10
Q12891,Q92478
P21741,P31431
Q6NX45,Q9UBB4
Q6P1J9,Q13509
Q15831,Q9UGM3
O15173,Q9NX47
Q9H6Z9,P57105
Q9NQC7,P33778
O75147,P06753
P82673,Q9Y4F1
P06239,Q13094
Q03518,Q96DZ9
Q7L0Q8,P23458
Q13489,P06702
Q9H444,Q32P51
Q96RS6,P62310
P46379,Q8NE63
O14641,Q8TAP4
P04629,P42765
P54274,P53674
P61587,Q15758
Q08211,P32969
Q13620,P78356
Q12778,P17676
P35222,P48163
P06576,Q9H9B4
Q7Z478,Q99871
P52948,Q13029
A0FGR8,Q99442
P11226,P28070
Q96CS3,P57078
Q08188,Q15382
Q9UL15,Q5TA81
P30566,P49902
Q9BXM7,P33778
P60953,Q9UNA1
P49450,Q9H0H5
Q9NRI5,Q96AQ6
Q96TA2,Q9BUB7
O00560,Q6P2H3
Q05586,Q8N6S4
P35908,Q68CZ6
Q7Z2T5,O76081
P61978,Q6ZRY4
Q13363,Q13151
P14598,Q06830
Q9UGJ1,Q8NBQ5
Q14192,Q86VK4
Q9HCE1,Q06787
Q53G59,Q9H171
P10636,Q96EB6
Q12792,P02788
Q9BTE3,Q16690
P03372,Q86V81
P83916,Q9BWN1
P17302,O75781
Q9NZD8,Q8WZ55
Q99497,Q6MZP7
P78543,P05114
P11441,P51571
A2VDJ0,Q96GX1
P08621,Q15646
Q96HY6,Q9P2N5
Q96BK5,P25815
Q9GZV8,Q15561
Q6ZN57,Q7Z5W3
Q8WXD5,Q9H1C4
Q9Y3D9,O43763
P49368,O75381
O00507,O15467
P61513,P62847
O60341,P26358
Q14157,P21754
P49792,Q86VU5
Q01968,O60939
P49454,Q9Y294
Q8N9E0,Q9H190
P50454,Q16560
Q05209,P28482
O43242,P28074
P68104,Q05513
P29353,P12314
Q8TB24,P11802
Q14687,Q86UY6
P12270,P68032
Q15942,Q8IY92
P21359,Q9HCD6
Q9HBD1,Q00610
Q96PM5,Q13555
O95235,Q86V48
Q99798,P54819
O00750,Q9NQ66
Q969H6,O75818
Q7Z699,Q7Z698
Q92974,O75381
Q9GZY8,Q8TBB6
O00398,P36507
P15498,P52815
Q6P587,Q12982
O00267,O76074
P61956,Q6ZU65
Q6EMK4,Q92990
O75208,P18859
Q9NV66,Q9NPA1
P33992,Q5T749
Q13191,O15397
P52565,P51991
Q12797,O14520
Q96RP9,O00411
P09544,Q9HB90
P20936,P00533
Q9Y5J1,Q9NPI1
Q68CP9,Q969G2
P68431,Q13573
P61981,Q15077
Q00610,Q01628
Q9UMX1,Q9UJC3
Q6UX01,Q9NPF4
Q9Y230,Q9BSD7
Q92540,Q9HCJ0
P60866,O00418
Q03252,Q15382
P13612,P31995
Q9Y241,Q9BXU1
Q6XUX3,Q14203
P55036,Q5HYA8
Q9NR31,Q96PS8
P21860,Q16543
Q9NZR4,P62068
P27824,O60512
Q12933,Q15717
P38398,Q92769
O75964,Q9NYV8
Q15911,O14618
Q93079,Q9Y6N9
P0DPH7,Q96I25
P35680,Q08AM6
Q07866,P48444
Q9H3N1,Q5ZPR3
P22415,O15047
P07550,Q06830
O00399,P62072
Q8WXI9,A8MW92
Q8TCU4,Q16831
P05023,P13984
P20020,O60704
P46199,P10176
O15198,O94907
P20674,Q96E11
P02458,Q15582
Q9Y4K3,O75534
P12004,Q6IQ23
P37173,P29692
Q16665,P19419
Q7Z7L1,Q969P6
Q92731,Q9NP71
Q9NUH8,P59542
P26373,O00411
Q2TBE0,P50221
O15143,Q9UI26
P04792,Q8IXJ9
P09651,P62841
P18887,Q96SW2
P46199,Q9BYZ2
Q32P51,Q7KZN9
Q8NAC3,P46379
Q13489,Q9P2K1
O14745,P15923
P82664,Q9H845
Q92989,Q8NCE0
P20036,O00461
O75369,O94906
O95881,Q86YR7
P40123,P13196
O43240,Q9NQE7
Q9NS23,P63208
Q9UBF8,O75592
P62829,P50914
Q93096,P49356
P61956,Q9BVP2
Q9Y2I6,Q9UGM3
P85037,Q9Y6I9
Q15843,P62249
Q9UBU8,Q13554
Q8WVV9,Q9H6T0
P62993,Q04900
Q9HC62,Q9UHP3
P78318,Q9UMY4
P27361,Q07869
Q08345,P25440
O43166,Q9BST9
Q02241,Q13627
Q13952,O43316
O95271,Q96L14
Q5T4S7,Q96NH3
Q13115,Q9C0C7
O00422,Q86T82
Q92552,O60248
P03372,Q04724
O15027,Q96LU5
Q8N488,P61978
P20290,Q13557
Q15843,O76064
P62837,Q96B67
Q9BTC0,P27658
Q9NZJ5,Q9Y3E5
Q7L273,Q9UI95
Q13233,P61077
P23443,P62714
O95819,Q8N4C8
Q6P4A8,Q9H6T0
P23258,Q8TC44
P63104,Q9BZF3
P49366,Q8N9E0
P62805,P34897
P78344,Q9UG01
Q96S44,P56211
P57055,Q96EZ8
P0CG47,O75409
Q92993,Q9BRK4
Q9UQM7,Q14573
Q9UNN5,Q01105
P42858,Q8IZQ1
P61956,P38646
Q3LI67,Q5TA76
Q3LI64,Q8NEC5
Q9Y265,Q56P03
P22694,Q96N77
P17252,P19021
Q96RD7,P00167
O14678,Q4KMZ8
Q5SNT2,Q9BXB1
Q16540,O75394
P10809,Q8N5S1
O00422,Q8IYB3
P62714,P13686
P35638,Q15744
Q9H857,Q04837
P62244,P05387
Q9UBX5,P08519
O43482,P37198
O43396,Q96AG3
P19838,P25705
Q93034,P63208
O75367,Q9HC52
Q96FW1,P30041
Q8N5G2,Q9H313
P07437,Q13618
O14965,Q13573
O95376,O43186
Q5TC82,O15446
P08134,Q8WUY1
Q14498,P40926
P16298,Q53QV2
P31943,Q8IV32
O43493,Q9NVN8
Q8WUM4,O00625
Q9NZS9,Q9UGK8
O14578,Q8TF68
Q9Y6K9,Q9NYJ8
Q9H9S0,P30622
Q9UKR5,Q9HCE1
Q3ZCM7,Q15646
Q5JPH6,P13073
Q53LP3,Q8WWQ0
P16885,P52429
O75570,O00470
Q9H5K3,Q15165
Q0VD86,Q9NP55
Q4VCS5,Q5UIP0
P01106,P49915
Q9BQC6,Q96DV4
O43159,Q9Y388
Q9NWV8,Q9BT78
Q9BU76,Q8WVV9
Q14114,Q6UUV7
B9A064,P22607
Q8NHQ1,Q9P291
O75841,Q9NP94
P11142,Q8N1N4
Q8WUA4,Q8TBK6
Q9UL63,Q4G1C9
P07910,P62995
O95672,P08236
P21580,Q8IVM0
Q9Y6H6,Q86WP2
Q9Y572,Q9BVA1
Q9NR12,Q15370
Q96SB4,P49840
Q5T5D7,Q8IUZ5
P84095,Q8N5N7
P03372,P13861
P49190,Q9UK39
P68133,Q12929
Q12789,P41162
P15941,P06681
O95255,Q9NYU2
Q15077,P43487
P08620,P22455
Q9H444,O95714
P32121,Q96J02
O75586,Q71F56
P10515,P14174
P05121,P39687
Q9UBE0,Q9HCH3
Q9HBH0,Q6R327
Q92731,P21741
P35236,Q10713
P04908,P58876
P63104,Q86YZ3
Q00765,Q9HBM0
P19838,A6NIV6
P31749,P22466
Q15077,Q9H7F0
Q8IZU1,P49821
Q0VD86,Q96PV6
P23284,P05114
P12830,P04626
P16871,Q13151
Q7Z417,P04275
P67775,P22830
P68400,Q9BWU0
P38398,Q8NCN4
P07947,Q9Y5K6
P11142,O95670
P09104,P55327
P04150,Q9BX97
Q9Y228,Q9NVK5
Q03933,P36952
A6NI73,Q9Y219
Q96HY6,P08621
Q13547,Q8WXI9
Q9UBC2,P53680
Q9Y6C9,P28331
O94887,P54105
Q96RP9,P30048
P12270,P62314
Q96D03,Q9UBY9
Q92782,Q15532
P26599,P08151
Q96CF2,P53621
P04216,Q01085
P12004,P39748
Q8TD19,Q8IX03
Q7L2J0,P62330
Q9NRD1,P62917
Q13131,Q8N5S9
Q02241,P50914
Q13451,Q9NZQ0
Q93084,Q9BX95
O60493,O43323
P67809,Q8IYD1
P60411,P18075
Q5T4B2,Q8WZ79
Q9UKX2,O94972
P11802,Q12766
Q8NHQ1,Q15323
Q93074,Q8N4S0
Q12788,Q96PL2
P62140,P19320
P27361,Q96JM7
Q969H0,O95251
P42338,O43426
P99999,P53701
Q5T749,P31937
O95863,Q01081
Q69YN4,P32119
Q8WWB5,P78358
O60645,O43193
Q96LA8,Q9UGK8
O60356,Q96DI7
Q96G97,Q8NHS3
P62330,Q9H0H5
O76021,P62913
Q86UE8,Q9UHY8
Q9H0F6,Q9UM82
Q15714,Q9NRP0
P61964,Q9UHB9
Q9BXK1,Q96CB8
P63000,O95297
Q13241,O96017
P07948,Q15043
P30273,Q8TBE7
Q8NHQ1,P19544
P05067,P52594
P08238,Q16832
Q15075,Q9UL26
P38646,P32322
Q9UGL9,P60410
P35244,Q86W42
P23769,Q9ULL5
Q9BX70,Q9UBW8
Q9UMR3,Q04726
O75367,Q8IWR1
O75530,P68431
O75791,O14641
P62805,O43474
Q969X5,O14842
O95994,P29373
Q9Y275,Q96RJ3
P43681,Q92521
Q9Y680,Q99542
Q969H0,Q14566
Q15287,Q8IVL5
Q9BRS2,P46783
P61158,Q7RTP6
P62263,Q7Z7K6
O14979,Q9BYC8
P58340,Q7Z4H7
P78317,Q9C0G0
Q9Y277,Q9P2N5
P31943,Q8TAP4
P30086,Q9HC24
P84098,Q7L3S4
P47929,Q14894
Q13164,Q16543
Q93084,Q96AN5
Q15293,Q9NVH1
P47985,Q9P0U1
P04629,P35249
P22607,P62333
P05067,Q53FT3
P58557,Q96RQ3
Q9NRX1,Q32P51
Q9H4M7,Q86WA8
P19320,P61081
P68400,Q96I25
Q8TDY2,O75506
P51532,P19338
P13647,Q9NWT6
Q8WUK0,P54219
Q14683,Q96FF9
Q15286,Q9C0B5
Q02539,P16401
Q14258,Q6WCQ1
O94992,P33992
P05787,Q16352
Q14839,Q96JM3
P51784,P55786
P21709,Q5JTZ9
Q9UKB1,Q9ULT8
Q09028,Q5T7N2
P20963,P84550
P05067,Q6ZMZ3
P19474,O94972
P63165,O60885
Q9H9B1,Q9H410
O60245,O95661
P04908,Q9NTI5
P35226,P11387
Q12952,Q9NP92
P27824,Q9NRC8
P62701,Q9UQL6
P62979,Q92560
Q92628,Q8WV44
Q92730,P27448
Q30KQ9,Q5HYA8
Q8WV41,P49356
Q9Y625,P05981
Q9NZI8,O95863
Q96KQ4,P25054
Q8WWQ0,P42694
P0C0S8,Q75WM6
Q9Y2I6,Q9Y6G9
O60637,Q6DKI2
Q96E22,O14894
Q9HBD1,Q9UHX1
P04629,Q9Y5E6
Q9GZQ8,P09038
Q1KMD3,Q9Y4C8
Q9BW61,P61962
P33176,Q01850
P08047,P17844
P11217,Q9Y5S2
Q15038,O95231
Q96T58,Q7L190
Q15831,Q9Y376
P51572,Q96AQ6
P41252,Q7KZN9
Q8TEW8,Q08209
Q9Y4K0,Q13112
Q9UHD9,O94888
P13569,P49755
Q05513,P04406
O43597,P35555
P31943,P00374
Q07001,Q8TED1
Q99459,Q76FK4
Q9C0B5,P21281
P11047,P02741
Q9BRX9,Q9UNP9
P01111,Q96J84
Q9HCY8,Q9NZQ7
Q9NQC7,Q9Y3U8
P27986,Q9H5I1
Q15392,P41587
Q07020,P19105
Q9NRI5,Q8WXH0
O43752,P46531
P08651,Q9BZK7
Q96AA3,Q96GX1
Q9Y2X3,O96028
Q9NV56,O96019
Q6NYC8,O95751
P06748,P62269
P08047,P14921
P78362,Q9H329
P13569,P46778
Q9Y3Z3,P01024
Q9UBU9,Q5JSZ5
Q9NXE4,P49116
Q9NX40,Q96LL9
Q9NYK5,P18621
Q8WX94,Q9Y6M1
P61956,P67775
A7E2Y1,Q9BVC3
P50222,Q9BYQ3
O75530,P62888
Q92793,O43463
Q9BXJ2,O43405
P08670,Q9BWQ6
Q8IWL3,O14656
P62826,P10398
P81605,Q00005
P09429,P28356
P12956,P53999
P30050,P46937
O00148,O43772
O95672,P14222
P48431,Q9H0H0
P19438,P17066
Q7Z6Z7,P22626
Q9HDC5,Q6PI78
Q13489,Q9NQC3
Q14512,P05230
P48729,P61964
Q14332,Q7Z404
P49356,Q9ULD6
Q96QV6,Q14498
Q9Y239,Q13098
O95475,O60756
P07900,Q96GD4
O60885,O14979
P22607,Q9NXL2
O75179,Q8TB72
Q15796,Q9Y262
P46783,Q9BXK1
Q9H4L4,Q6SPF0
Q9H6Z9,O76071
P00441,P04179
Q8WY22,O95427
P41229,Q9Y605
Q12846,P35606
P12236,Q9UI42
Q6P2Q9,Q14974
Q8N3E9,Q13574
P19875,P80162
Q10713,O95182
P49736,P04406
P35226,P49760
Q8WXH0,O75147
Q96SB4,P18621
Q9Y265,Q9NWS0
P27695,O15031
P63000,A7KAX9
P07900,Q8TD08
P63104,Q9Y2K2
Q14315,Q9HBH0
P42858,Q96HU8
Q9UBU9,P04908
Q96PK6,Q05086
Q9UBB9,P40222
P17612,Q9Y2B9
P03372,Q9H8H0
O14974,P46019
Q9Y6K9,O75154
P11532,Q969Q1
P23458,Q9HCK5
P50750,P08631
Q12913,Q9BXL5
Q02539,O95563
P17844,Q8TB96
Q9UNF0,Q9H2D6
P11717,Q9P0N5
Q9HBD1,P62861
Q9NWT6,Q9BSK4
Q6PKG0,P17844
Q16534,Q10586
Q9H2X0,Q9BQ66
Q16560,Q15750
Q9NX40,O00408
Q9Y2Q9,Q86VP6
Q01844,Q01081
Q15910,Q9P035
Q96RP9,Q96C36
P11172,Q6XPS3
Q8WWQ0,Q9Y6M1
Q13887,Q9GZR7
Q9GZM5,P25103
Q92731,O15439
Q15910,Q6ZN18
Q92731,Q13242
P28324,Q5QNW6
Q9Y3S2,Q14146
Q9BRG1,Q86U10
Q92731,Q9H0E3
P61019,Q8N137
P16403,Q03701
Q01664,Q9UNY4
P05141,Q13263
Q8TAK6,Q8TEW6
Q96BY7,P29401
P09467,P15056
Q9P0K7,P04004
Q504Q3,Q5U5Q3
Q14315,Q99490
Q9GZR2,Q15361
Q16665,Q7Z3U7
Q13363,P80365
P01106,O75489
Q9NR12,P48668
Q9NQQ7,Q96LL9
P15153,P63010
Q14164,P37837
Q8NI22,Q14657
O95376,P05455
O43482,P10606
Q6IQ23,O43426
O14763,P55082
P05556,P23142
P07900,O94921
Q9UNN5,Q86UT6
Q99576,Q9Y3Q8
Q99963,P35462
Q99615,P25685
Q15818,O43921
